Cluster,R_GC,Mass,rc,"rh,m",[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm,fname,tcount,t
NGC_6652,2.18,48100.0,0.26,1.96,-0.81,4.682145076373832,0.1326530612244898,0.5673388936780567,1.2128363250591632,N4e5_rv2_rg2_Z0.002.tar.gz,325436,13111.236548239001
NGC_6712,3.55,96300.0,1.06,3.21,-1.02,4.983626287124535,0.3302180685358256,1.0496103037450035,4.009533521793169,N4e5_rv2_rg2_Z0.002.tar.gz,310177,10000.568336263
NGC_6717,2.38,35800.0,0.2,4.23,-1.26,4.553883026643875,0.04728132387706856,0.36216153145599267,0.004328291328305967,N4e5_rv1_rg2_Z0.002.tar.gz,438041,13111.071260640001
NGC_6723,2.47,177000.0,1.68,5.06,-1.1,5.247973266361806,0.33201581027667987,1.4724790792360134,4.034982053167836,N8e5_rv2_rg2_Z0.002.tar.gz,551417,11166.620527394998
NGC_5927,4.77,275000.0,1.42,5.28,-0.49,5.439332693830263,0.2689393939393939,1.7785916249731641,3.142082854310605,N8e5_rv2_rg2_Z0.02.tar.gz,396780,13499.937742259997
NGC_6304,2.19,126000.0,0.22,4.26,-0.45,5.1003705451175625,0.051643192488262914,1.236362963319778,0.0660741737771427,N8e5_rv4_rg2_Z0.02.tar.gz,203985,10777.760873090001
NGC_6316,3.16,318000.0,0.6,4.77,-0.45,5.502427119984433,0.12578616352201258,1.8795220869179323,1.1156296698111854,N1.6e6_rv1_rg2_Z0.02.tar.gz,1091029,13111.092238454
Liller_1,0.74,915000.0,0.19,2.01,-0.33,5.9614210940664485,0.09452736318407962,2.6137624415376077,0.6731353208974589,N1.6e6_rv4_rg2_Z0.02.tar.gz,317934,10000.017992646
Ter_5,1.65,935000.0,0.51,3.77,-0.23,5.970811610872518,0.13527851458885942,2.6287841995106627,1.2500018037247116,N1.6e6_rv2_rg2_Z0.02.tar.gz,726462,11166.689614726
NGC_6440,1.23,489000.0,0.35,2.14,-0.36,5.689308859123621,0.16355140186915887,2.1784717946824625,1.65022806684926,N1.6e6_rv2_rg2_Z0.02.tar.gz,682915,10000.049867464
NGC_6441,4.78,1320000.0,0.53,3.47,-0.46,6.12057393120585,0.15273775216138327,2.8683549681904323,1.4971518503888146,N1.6e6_rv2_rg2_Z0.02.tar.gz,682915,10000.049867464
NGC_6496,2.81,68900.0,2.54,6.42,-0.46,4.838219221907626,0.3956386292834891,0.8170065199097232,4.93561603681788,N8e5_rv2_rg2_Z0.02.tar.gz,396780,13499.937742259997
NGC_6528,0.7,56700.0,0.33,2.73,-0.11,4.753583058892906,0.12087912087912088,0.6816163190473643,1.0461663949610847,N4e5_rv2_rg2_Z0.02.tar.gz,164845,13111.164663445
NGC_6553,2.93,285000.0,0.87,4.56,-0.18,5.45484486000851,0.19078947368421054,1.8034060213242598,2.035805655341692,N8e5_rv2_rg2_Z0.02.tar.gz,366178,10777.76280816
Ter_12,3.17,87200.0,0.84,3.28,-0.5,4.940516484932568,0.25609756097560976,0.9806487089608458,2.9602960149329984,N4e5_rv2_rg2_Z0.02.tar.gz,154368,10777.800362314
NGC_6624,1.2,156000.0,0.33,3.69,-0.44,5.193124598354462,0.08943089430894309,1.3847391355283138,0.6009905599890902,N8e5_rv4_rg2_Z0.02.tar.gz,234549,12722.209642020001
Pal_8,4.09,67400.0,1.95,5.86,-0.37,4.82865989653532,0.3327645051194539,0.8017147233990507,4.045580452127706,N8e5_rv2_rg2_Z0.02.tar.gz,396780,13499.937742259997
NGC_3201,8.93,160000.0,1.22,6.78,-1.59,5.204119982655925,0.1799410029498525,1.402328157006934,1.8822365182534702,N8e5_rv1_rg8_Z0.0002.tar.gz,727315,13499.929364765998
NGC_4372,7.22,198000.0,3.79,8.53,-2.17,5.296665190261531,0.44431418522860494,1.550370244458282,5.624659064800315,N4e5_rv4_rg8_Z0.0002.tar.gz,261919,13499.966632460002
NGC_4590,10.35,122000.0,1.96,7.58,-2.23,5.086359830674748,0.25857519788918204,1.2139503990556364,2.9953690286463672,N4e5_rv2_rg8_Z0.0002.tar.gz,312558,13497.773479507001
NGC_4833,7.13,206000.0,1.54,4.76,-1.85,5.313867220369153,0.3235294117647059,1.5778878708316124,3.914850015355068,N8e5_rv2_rg8_Z0.0002.tar.gz,588199,13110.970043565001
NGC_5139,6.5,3640000.0,4.28,10.36,-1.53,6.561101383649056,0.4131274131274132,3.573054923235607,5.183184335557709,N8e5_rv2_rg8_Z0.0002.tar.gz,588199,13110.970043565001
NGC_5286,8.46,353000.0,0.4,3.79,-1.69,5.547774705387822,0.10554089709762533,1.9520634035099909,0.8290410647400878,N1.6e6_rv2_rg8_Z0.0002.tar.gz,1000989,12333.315918006001
NGC_5897,7.41,157000.0,5.49,10.99,-1.9,5.195899652409234,0.49954504094631486,1.389178315099984,6.406497819856392,N4e5_rv4_rg8_Z0.0002.tar.gz,261919,13499.966632460002
NGC_6101,10.36,178000.0,5.86,14.06,-1.98,5.250420002308894,0.4167852062588905,1.4763930571330937,5.234963443286614,N4e5_rv4_rg8_Z0.0002.tar.gz,261919,13499.966632460002
NGC_6205,8.64,545000.0,1.89,5.26,-1.53,5.7363965022766426,0.3593155893536122,2.2537966350053154,4.4214331593376555,N8e5_rv2_rg8_Z0.0002.tar.gz,588199,13110.970043565001
NGC_6341,9.85,352000.0,0.78,4.49,-2.31,5.546542663478131,0.17371937639198218,1.9500925390983448,1.7941642133938263,N1.6e6_rv1_rg8_Z0.0002.tar.gz,1446930,11944.412327035998
NGC_6397,6.01,96600.0,0.04,3.9,-2.02,4.984977126415493,0.010256410256410256,1.0517712051424803,-0.5197901927159708,N4e5_rv1_rg8_Z0.0002.tar.gz,426729,12333.331144848
ESO_280-SC06,13.41,7800.0,2.38,9.65,-1.8,3.8920946026904804,0.2466321243523316,-0.6964836676635735,2.8263048773806423,N2e5_rv4_rg8_Z0.0002.tar.gz,197390,12333.540679054999
NGC_6656,5.0,476000.0,1.04,5.29,-1.7,5.6776069527204935,0.19659735349716448,2.159752568739808,2.118021030487857,N1.6e6_rv1_rg8_Z0.0002.tar.gz,1385895,10388.887644016
NGC_6752,5.3,276000.0,0.13,5.27,-1.54,5.440909082065217,0.024667931688804556,1.78111333096934,-0.31578310593903736,N8e5_rv0.5_rg8_Z0.0002.tar.gz,947782,10777.752026217
NGC_6779,9.91,186000.0,1.18,4.51,-1.98,5.269512944217916,0.2616407982261641,1.5069355244194038,3.038765154232685,N8e5_rv1_rg8_Z0.0002.tar.gz,691526,10000.091373349998
NGC_7078,10.76,633000.0,0.04,4.3,-2.37,5.801403710017355,0.009302325581395349,2.357786922372022,-0.5332960557854172,N1.6e6_rv4_rg8_Z0.0002.tar.gz,543303,10388.875010715
NGC_7089,10.54,620000.0,0.77,4.77,-1.65,5.7923916894982534,0.16142557651991615,2.34337063476167,1.6201352387929018,N1.6e6_rv1_rg8_Z0.0002.tar.gz,1446930,11944.412327035998
NGC_7099,7.36,143000.0,0.06,4.99,-2.27,5.155336037465061,0.012024048096192385,1.3242897877923392,-0.4947678071293914,N8e5_rv0.5_rg8_Z0.0002.tar.gz,1057960,13477.875499539003
NGC_104,7.52,895000.0,0.79,6.3,-0.72,5.951823035315912,0.1253968253968254,2.5984086842802303,1.1101182644357548,N1.6e6_rv2_rg8_Z0.002.tar.gz,962356,10777.77148976
NGC_288,12.21,93400.0,3.59,8.37,-1.32,4.970346876230093,0.42891278375149344,1.0283675861608004,5.406639401687933,N2e5_rv4_rg8_Z0.002.tar.gz,141931,10390.148304485001
NGC_362,9.62,284000.0,0.4,3.79,-1.26,5.453318340047038,0.10554089709762533,1.800964088268195,0.8290410647400878,N8e5_rv4_rg8_Z0.002.tar.gz,375013,11166.715189025
NGC_2808,11.58,864000.0,0.79,3.89,-1.14,5.936513742478893,0.20308483290488433,2.573918818974023,2.2098567038206753,N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1640215,10388.883401448
E_3,9.1,2890.0,1.81,6.14,-0.83,3.4608978427565478,0.2947882736156352,-1.386257564059376,3.5079952712566738,N2e5_rv4_rg8_Z0.002.tar.gz,145219,12332.663696118001
NGC_5272,12.09,406000.0,1.23,6.34,-1.5,5.608526033577194,0.194006309148265,2.049245674459391,2.081342640089696,N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1640215,10388.883401448
NGC_5904,6.27,394000.0,1.18,5.68,-1.29,5.595496221825574,0.20774647887323944,2.0284022339321575,2.27584618439362,N1.6e6_rv1_rg8_Z0.002.tar.gz,1457602,12333.320390635998
NGC_5946,5.2,93100.0,0.31,2.59,-1.29,4.968949680981343,0.1196911196911197,1.0261325303804556,1.0293492488610987,N4e5_rv1_rg8_Z0.002.tar.gz,312671,12722.13715368
NGC_6121,6.45,87100.0,0.39,3.69,-1.16,4.940018155007663,0.10569105691056911,0.9798515439402998,0.8311667019348374,N4e5_rv1_rg8_Z0.002.tar.gz,313278,13111.103832912002
NGC_6284,6.32,129000.0,0.47,3.78,-1.26,5.110589710299249,0.12433862433862433,1.2527102878830796,1.0951385472615076,N4e5_rv4_rg8_Z0.002.tar.gz,246914,13111.082998930002
