fname,tcount,t,M,r_h,rc_spitzer,N,rv,rg,Z,[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1439872,11555.554296635999,495388.7929571,5.8020044,1.1005581,1600000,1.0,20.0,0.0002,-2.0,5.694946177437659,0.1896858437404839,2.1874896616518096,2.0201828544628495
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1451737,11944.448851272,493899.55740551994,5.8374668,1.1063022,1600000,1.0,20.0,0.0002,-2.0,5.693638636980689,0.1895175146863362,2.1853980242382125,2.0178000165287924
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1463480,12333.338652754002,492586.77611682,5.8746565,1.2081126,1600000,1.0,20.0,0.0002,-2.0,5.692482748679328,0.20564821109115058,2.1835489807121204,2.2461434566483285
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1473698,12722.227703737999,491260.21540372,5.9034801,1.036462,1600000,1.0,20.0,0.0002,-2.0,5.691311594319542,0.17556796710469133,2.1816755164816506,1.8203325543085462
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1485110,13111.11500356,490069.8381005,5.9245510999999995,0.73525892,1600000,1.0,20.0,0.0002,-2.0,5.690257974192677,0.12410373504922594,2.1799900686124682,1.0918134937707942
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1496946,13499.928254245997,488794.26125767996,5.9537234,1.3474753000000002,1600000,1.0,20.0,0.0002,-2.0,5.689126098382712,0.22632480709466618,2.178179437225082,2.538837891092923
N1.6e6_rv1_rg20_Z0.002.tar.gz,1374563,10000.007849173999,491699.25503580004,5.211353599999999,0.55290864,1600000,1.0,20.0,0.002,-1.0,5.691699550299341,0.10609693420150958,2.1822961192613586,0.8369122329741596
N1.6e6_rv1_rg20_Z0.002.tar.gz,1389813,10388.881389866001,490048.70318054,5.2344088,0.728883,1600000,1.0,20.0,0.002,-1.0,5.690239244255982,0.13924839038173709,2.1799601068348906,1.306198701406228
N1.6e6_rv1_rg20_Z0.002.tar.gz,1404861,10777.803712928,488460.01317778,5.280933900000001,0.956894,1600000,1.0,20.0,0.002,-1.0,5.688829016842839,0.18119787486830688,2.177704203850563,1.9000285868937217
N1.6e6_rv1_rg20_Z0.002.tar.gz,1421532,11166.666496482,486896.11643512006,5.3199034,0.88147486,1600000,1.0,20.0,0.002,-1.0,5.687436310554266,0.16569377180796177,2.1754763289394634,1.6805550973480132
N1.6e6_rv1_rg20_Z0.002.tar.gz,1433993,11555.552045142,485427.67616980005,5.3610928,0.9512511999999999,1600000,1.0,20.0,0.002,-1.0,5.686124533564056,0.17743606303550646,2.173377914457225,1.8467770078281303
N1.6e6_rv1_rg20_Z0.002.tar.gz,1446766,11944.456106085998,484028.19124939997,5.385601,1.0367986999999999,1600000,1.0,20.0,0.002,-1.0,5.684870656990491,0.19251309185362966,2.1713721217191737,2.060204905837798
N1.6e6_rv1_rg20_Z0.002.tar.gz,1462244,12333.335650762,482687.56970112,5.407413099999999,0.87134788,1600000,1.0,20.0,0.002,-1.0,5.683666114895505,0.16113950680039593,2.169445248023836,1.6160856836943516
N1.6e6_rv1_rg20_Z0.002.tar.gz,1472881,12722.25822399,481396.48615394,5.4425253,1.1708372999999999,1600000,1.0,20.0,0.002,-1.0,5.682502915915073,0.2151275805736723,2.167584509800434,2.380331825425582
N1.6e6_rv1_rg20_Z0.002.tar.gz,1483551,13111.108999576,480123.44200814003,5.477477599999999,1.1003473999999998,1600000,1.0,20.0,0.002,-1.0,5.681352910897804,0.2008857872828179,2.1657448776061705,2.178727381829804
N1.6e6_rv1_rg20_Z0.002.tar.gz,1495238,13499.999051224,479008.12375262,5.501460400000001,1.0727537,1600000,1.0,20.0,0.002,-1.0,5.680342878907293,0.19499435095452106,2.1641291565101084,2.0953291946289716
N1.6e6_rv1_rg20_Z0.02.tar.gz,999185,10000.002095356,516560.56802546006,3.8185919999999998,0.62202748,1600000,1.0,20.0,0.02,0.0,5.7131212509612554,0.16289445952853826,2.216563839490187,1.640928500962401
N1.6e6_rv1_rg20_Z0.02.tar.gz,1012485,10388.853371273999,514725.56595964,3.8575805,0.57551923,1600000,1.0,20.0,0.02,0.0,5.711575739805347,0.14919176151994756,2.21409152672954,1.4469554000076987
N1.6e6_rv1_rg20_Z0.02.tar.gz,1018471,10777.74917674,513025.11706194,3.9000167,0.60044104,1600000,1.0,20.0,0.02,0.0,5.710138628141781,0.1539585817670986,2.211792617730582,1.5144337100787415
